task_id,file_name,page_count,message,start_time,end_time
97c754e0-d136-4460-aef8-e0daa1aaacf3,test.pdf,0,Task started,2024-10-20T23:40:21.573Z,2024-10-20T23:40:22.654Z
03842f24-1f91-43cd-8a87-fb7dd2ff2d88,test.pdf,12,Converting file to images,2024-10-20T23:40:20.505Z,2024-10-20T23:40:22.695Z
5c91b92d-d748-4fd2-8d03-717f736dcd63,test.pdf,12,OCR queued,2024-10-20T23:38:51.200Z,2024-10-20T23:40:23.033Z
a63f3b40-201c-4150-a952-3ebf74f8ed41,test.pdf,12,Chunking queued,2024-10-20T23:40:20.879Z,2024-10-20T23:40:23.037Z
cb2e70d3-13ca-45ae-b05d-6bfe9450d7c9,test.pdf,12,Segmenting,2024-10-20T23:40:02.961Z,2024-10-20T23:40:23.052Z
de9b6362-5880-4372-abaa-7c8cd6ad0ef6,test.pdf,12,Converting file to images,2024-10-20T23:40:21.093Z,2024-10-20T23:40:23.213Z
25aa6e64-e9c5-4ff2-821e-846250daa9ba,test.pdf,0,Task queued,2024-10-20T23:36:48.319Z,2024-10-20T23:40:23.425Z
0819d512-6094-4b74-9ba8-c6a27870a5d8,test.pdf,12,Segmentation queued,2024-10-20T23:36:25.142Z,2024-10-20T23:40:23.732Z
4f04ea02-19ea-4c05-901e-455e90357eac,test.pdf,12,Converting file to images,2024-10-20T23:40:22.336Z,2024-10-20T23:40:24.427Z
9cc45c98-4c00-4667-b0f4-2bf65d68a70f,test.pdf,0,Task queued,2024-10-20T23:36:48.686Z,2024-10-20T23:40:24.630Z
97c754e0-d136-4460-aef8-e0daa1aaacf3,test.pdf,12,Converting file to images,2024-10-20T23:40:22.654Z,2024-10-20T23:40:24.730Z
53ba5bbb-aa73-48c1-aba6-63552381126c,test.pdf,12,Segmentation queued,2024-10-20T23:36:26.299Z,2024-10-20T23:40:24.832Z
9c91d0b0-503d-462f-b4a2-a3e552c0a9b8,test.pdf,12,OCR started,2024-10-20T23:39:56.125Z,2024-10-20T23:40:25.349Z
9c91d0b0-503d-462f-b4a2-a3e552c0a9b8,test.pdf,12,Task succeeded,2024-10-20T23:40:25.349Z,2024-10-20T23:40:25.349Z
f0208bc5-3441-476e-88f4-bb2cce9ededb,test.pdf,0,Task queued,2024-10-20T23:36:48.767Z,2024-10-20T23:40:25.625Z
8887d8e7-12ea-4c9b-afff-d5d211b8d0a6,test.pdf,0,Task queued,2024-10-20T23:36:48.968Z,2024-10-20T23:40:25.755Z
cb2e70d3-13ca-45ae-b05d-6bfe9450d7c9,test.pdf,12,Chunking queued,2024-10-20T23:40:23.052Z,2024-10-20T23:40:26.198Z
ffab1f58-32b0-4459-8f33-932c2be7b417,test.pdf,12,Cropping segments,2024-10-20T23:40:14.651Z,2024-10-20T23:40:26.225Z
25aa6e64-e9c5-4ff2-821e-846250daa9ba,test.pdf,12,Converting file to images,2024-10-20T23:40:23.425Z,2024-10-20T23:40:26.682Z
9cc45c98-4c00-4667-b0f4-2bf65d68a70f,test.pdf,12,Task started,2024-10-20T23:40:24.630Z,2024-10-20T23:40:26.797Z
b6a5a3c9-369d-480a-916a-7b43d7230764,test.pdf,12,OCR started,2024-10-20T23:39:55.695Z,2024-10-20T23:40:26.922Z
b6a5a3c9-369d-480a-916a-7b43d7230764,test.pdf,12,Task succeeded,2024-10-20T23:40:26.922Z,2024-10-20T23:40:26.922Z
b8af463e-d1d1-4c91-882b-f07980c290b1,test.pdf,12,Task queued,2024-10-20T23:36:48.998Z,2024-10-20T23:40:27.330Z
d7ac1815-e30b-4438-b26a-68598e66cb4d,test.pdf,12,OCR queued,2024-10-20T23:39:04.314Z,2024-10-20T23:40:27.517Z
338f8ac8-8fef-4bda-95d6-de006d898ed7,test.pdf,12,OCR started,2024-10-20T23:39:57.152Z,2024-10-20T23:40:27.646Z
338f8ac8-8fef-4bda-95d6-de006d898ed7,test.pdf,12,Task succeeded,2024-10-20T23:40:27.646Z,2024-10-20T23:40:27.646Z
bf26081b-2f0d-4830-9cd5-d59745c9c840,test.pdf,12,OCR started,2024-10-20T23:39:55.955Z,2024-10-20T23:40:27.830Z
bf26081b-2f0d-4830-9cd5-d59745c9c840,test.pdf,12,Task succeeded,2024-10-20T23:40:27.830Z,2024-10-20T23:40:27.830Z
7c2b8eb6-6f42-4678-ab99-4c5fca00b2b3,test.pdf,12,OCR started,2024-10-20T23:39:56.446Z,2024-10-20T23:40:27.898Z
7c2b8eb6-6f42-4678-ab99-4c5fca00b2b3,test.pdf,12,Task succeeded,2024-10-20T23:40:27.898Z,2024-10-20T23:40:27.898Z
f0208bc5-3441-476e-88f4-bb2cce9ededb,test.pdf,12,Converting file to images,2024-10-20T23:40:25.625Z,2024-10-20T23:40:27.953Z
611f070f-4c5e-491e-845d-02cec790ac82,test.pdf,12,OCR started,2024-10-20T23:39:55.873Z,2024-10-20T23:40:28.062Z
611f070f-4c5e-491e-845d-02cec790ac82,test.pdf,12,Task succeeded,2024-10-20T23:40:28.062Z,2024-10-20T23:40:28.062Z
8887d8e7-12ea-4c9b-afff-d5d211b8d0a6,test.pdf,12,Converting file to images,2024-10-20T23:40:25.755Z,2024-10-20T23:40:28.093Z
39e2e3a1-e683-4d40-aa93-694a6e11b901,test.pdf,12,OCR started,2024-10-20T23:39:56.789Z,2024-10-20T23:40:28.587Z
39e2e3a1-e683-4d40-aa93-694a6e11b901,test.pdf,12,Task succeeded,2024-10-20T23:40:28.587Z,2024-10-20T23:40:28.587Z
ce3893b3-f7af-4a80-9f2a-bf69225ec020,test.pdf,12,OCR queued,2024-10-20T23:39:08.432Z,2024-10-20T23:40:28.993Z
1fd756c0-5616-46f5-9cb8-40219ff9d2f4,test.pdf,12,OCR queued,2024-10-20T23:39:05.879Z,2024-10-20T23:40:28.993Z
c8d1772c-844e-4084-ad99-47201614e0aa,test.pdf,12,Cropping segments,2024-10-20T23:40:17.076Z,2024-10-20T23:40:29.064Z
e08becb1-1310-4e45-9dc6-fbb570971a09,test.pdf,0,Task queued,2024-10-20T23:36:49.285Z,2024-10-20T23:40:29.183Z
b8af463e-d1d1-4c91-882b-f07980c290b1,test.pdf,12,Converting file to images,2024-10-20T23:40:27.330Z,2024-10-20T23:40:29.423Z
df68121a-ce00-476e-b7ff-0454abcc7082,test.pdf,12,OCR queued,2024-10-20T23:39:05.725Z,2024-10-20T23:40:29.735Z
15ecb6ba-e290-49fd-a733-39c4188ed808,test.pdf,12,OCR queued,2024-10-20T23:39:08.628Z,2024-10-20T23:40:29.913Z
40c17faa-806f-4cfd-923d-9666c2743cdb,test.pdf,12,OCR queued,2024-10-20T23:39:22.184Z,2024-10-20T23:40:29.913Z
5bcbe8fb-a7b4-48c9-af9f-3764e9b3018f,test.pdf,0,Task queued,2024-10-20T23:36:49.521Z,2024-10-20T23:40:29.936Z
7a5a57b6-05c2-4f30-9ff1-bd49dd6f8590,test.pdf,12,OCR queued,2024-10-20T23:39:05.960Z,2024-10-20T23:40:30.250Z
91379dd7-1609-4510-b6d6-f780a62670d1,test.pdf,0,Task queued,2024-10-20T23:36:49.344Z,2024-10-20T23:40:30.251Z
d3318857-707f-4bd2-92df-7d8b1f7f6065,test.pdf,0,Task queued,2024-10-20T23:36:49.830Z,2024-10-20T23:40:30.834Z
e08becb1-1310-4e45-9dc6-fbb570971a09,test.pdf,12,Converting file to images,2024-10-20T23:40:29.183Z,2024-10-20T23:40:31.199Z
12a921df-8c40-47a8-8bb2-d734e2fd25fd,test.pdf,0,Task queued,2024-10-20T23:36:49.715Z,2024-10-20T23:40:31.276Z
63c635cf-a520-44dd-a7e0-71e0e1d2c4b5,test.pdf,12,OCR started,2024-10-20T23:40:00.854Z,2024-10-20T23:40:31.522Z
63c635cf-a520-44dd-a7e0-71e0e1d2c4b5,test.pdf,12,Task succeeded,2024-10-20T23:40:31.522Z,2024-10-20T23:40:31.522Z
5bcbe8fb-a7b4-48c9-af9f-3764e9b3018f,test.pdf,12,Converting file to images,2024-10-20T23:40:29.936Z,2024-10-20T23:40:32.146Z
12a921df-8c40-47a8-8bb2-d734e2fd25fd,test.pdf,12,Converting file to images,2024-10-20T23:40:31.276Z,2024-10-20T23:40:32.374Z
91379dd7-1609-4510-b6d6-f780a62670d1,test.pdf,12,Converting file to images,2024-10-20T23:40:30.251Z,2024-10-20T23:40:32.520Z
51aee79e-8050-40cc-b2c2-d45dd75808b9,test.pdf,0,Task queued,2024-10-20T23:36:50.011Z,2024-10-20T23:40:32.739Z
f97e520a-cb0d-440c-a639-35afdacadf6e,test.pdf,12,Cropping segments,2024-10-20T23:40:20.892Z,2024-10-20T23:40:32.907Z
6b13bd93-882b-408b-a3c0-e98a5afb388e,test.pdf,0,Task queued,2024-10-20T23:36:50.053Z,2024-10-20T23:40:33.062Z
d3318857-707f-4bd2-92df-7d8b1f7f6065,test.pdf,12,Converting file to images,2024-10-20T23:40:30.834Z,2024-10-20T23:40:33.063Z
55aff2be-5eeb-4721-9432-b21e078dd24b,test.pdf,12,Segmenting,2024-10-20T23:39:38.385Z,2024-10-20T23:40:33.064Z
5dca832f-6789-4f9c-ab6c-18faba4bd3ac,test.pdf,12,Segmentation queued,2024-10-20T23:36:26.539Z,2024-10-20T23:40:33.510Z
0819d512-6094-4b74-9ba8-c6a27870a5d8,test.pdf,12,Segmenting,2024-10-20T23:40:23.732Z,2024-10-20T23:40:33.542Z
6b13bd93-882b-408b-a3c0-e98a5afb388e,test.pdf,0,Task started,2024-10-20T23:40:33.062Z,2024-10-20T23:40:34.150Z
5aff3e0a-b46e-4f4f-a9d3-2d7673aa3e51,test.pdf,12,OCR queued,2024-10-20T23:39:22.784Z,2024-10-20T23:40:34.253Z
0dd5b95f-d803-4242-afc5-9f6cec2f738d,test.pdf,0,Task queued,2024-10-20T23:36:50.226Z,2024-10-20T23:40:34.658Z
51aee79e-8050-40cc-b2c2-d45dd75808b9,test.pdf,12,Converting file to images,2024-10-20T23:40:32.739Z,2024-10-20T23:40:34.909Z
a63f3b40-201c-4150-a952-3ebf74f8ed41,test.pdf,12,Cropping segments,2024-10-20T23:40:23.037Z,2024-10-20T23:40:35.032Z
6b13bd93-882b-408b-a3c0-e98a5afb388e,test.pdf,12,Converting file to images,2024-10-20T23:40:34.150Z,2024-10-20T23:40:35.239Z
55aff2be-5eeb-4721-9432-b21e078dd24b,test.pdf,12,Chunking started,2024-10-20T23:40:33.064Z,2024-10-20T23:40:35.317Z
bf348235-1d2d-4e04-9c54-e02ad18f9f3f,test.pdf,12,Task queued,2024-10-20T23:36:50.399Z,2024-10-20T23:40:35.942Z
0dd5b95f-d803-4242-afc5-9f6cec2f738d,test.pdf,12,Converting file to images,2024-10-20T23:40:34.658Z,2024-10-20T23:40:36.857Z
baa35ee8-629d-4c6d-826b-078a0bd0e3df,test.pdf,12,Segmentation queued,2024-10-20T23:36:26.626Z,2024-10-20T23:40:36.882Z
0819d512-6094-4b74-9ba8-c6a27870a5d8,test.pdf,12,Chunking queued,2024-10-20T23:40:33.542Z,2024-10-20T23:40:36.988Z
bf348235-1d2d-4e04-9c54-e02ad18f9f3f,test.pdf,12,Converting file to images,2024-10-20T23:40:35.942Z,2024-10-20T23:40:37.029Z
cb2e70d3-13ca-45ae-b05d-6bfe9450d7c9,test.pdf,12,Cropping segments,2024-10-20T23:40:26.198Z,2024-10-20T23:40:37.069Z
